"","docID","negative","positive","polarity"
"147",195,1,1,0
"148",197,1,2,1
"149",198,4,2,-2
"150",199,2,1,-1
"151",200,2,0,-2
"152",202,7,5,-2
"153",203,0,1,1
"154",204,5,11,6
"155",206,5,1,-4
"156",208,2,5,3
"157",209,1,0,-1
"158",210,0,2,2
"159",211,4,4,0
"160",212,2,0,-2
"161",213,1,0,-1
"162",214,1,2,1
"163",215,1,0,-1
"164",216,0,4,4
"165",217,2,2,0
"166",218,0,2,2
"167",219,0,5,5
"168",220,2,4,2
"169",221,5,2,-3
"170",222,2,1,-1
"171",223,0,1,1
"172",225,0,1,1
"173",227,9,10,1
"174",228,4,5,1
"175",229,0,4,4
"176",230,2,0,-2
"177",232,3,4,1
"178",234,0,1,1
"179",235,10,8,-2
"180",236,2,5,3
"181",237,2,1,-1
"182",238,1,1,0
"183",239,2,4,2
"184",240,9,10,1
"185",241,1,2,1
"186",242,0,1,1
"187",243,0,1,1
"188",244,0,2,2
"189",245,0,5,5
"190",246,1,1,0
"191",247,1,1,0
"192",248,3,9,6
"193",249,1,0,-1
"194",250,1,1,0
"195",251,4,0,-4
"196",252,1,3,2
"197",253,2,2,0
"198",254,0,1,1
"199",256,0,1,1
"200",258,6,2,-4
"201",259,0,1,1
"202",260,0,2,2
"203",261,2,0,-2
"204",262,0,2,2
"205",263,0,2,2
"206",264,4,9,5
"207",266,0,5,5
"208",267,0,1,1
"209",268,3,1,-2
"210",269,1,0,-1
"211",270,1,0,-1
"212",271,1,1,0
"213",274,3,3,0
"214",275,0,1,1
"215",277,1,4,3
"216",278,0,4,4
"217",279,3,2,-1
"218",280,11,11,0
"219",281,0,1,1
"220",282,1,1,0
"221",283,0,1,1
"222",284,0,1,1
"223",286,4,2,-2
"224",287,1,5,4
"225",288,0,3,3
"226",289,2,2,0
"227",291,0,2,2
"228",292,0,4,4
"229",293,6,5,-1
"230",295,0,2,2
"231",296,1,0,-1
"232",297,1,1,0
"233",298,1,0,-1
"234",299,2,1,-1
"235",300,10,9,-1
"236",301,1,1,0
"237",303,2,2,0
"238",304,1,0,-1
"239",306,9,10,1
"240",307,1,2,1
"241",308,2,2,0
"242",311,2,0,-2
"243",312,2,0,-2
"244",314,1,0,-1
"245",315,2,4,2
"246",317,8,12,4
"247",318,2,3,1
"248",319,0,1,1
"249",320,4,1,-3
"250",322,1,1,0
"251",324,1,1,0
"252",326,26,12,-14
"253",327,0,1,1
"254",328,0,2,2
"255",329,2,1,-1
"256",330,0,1,1
"257",331,2,1,-1
"258",333,1,1,0
"259",334,1,2,1
"260",336,1,0,-1
"261",337,1,2,1
"262",340,1,2,1
"263",341,0,2,2
"264",342,0,1,1
"265",343,1,0,-1
"266",344,1,1,0
"267",347,0,2,2
"268",349,1,1,0
"269",352,3,0,-3
"270",353,3,4,1
"271",354,1,2,1
"272",355,0,2,2
"273",357,3,1,-2
"274",358,2,0,-2
"275",361,3,8,5
"276",363,1,4,3
"277",365,1,0,-1
"278",366,22,20,-2
"279",367,6,5,-1
"280",368,1,1,0
"281",369,2,0,-2
"282",370,1,2,1
"283",372,2,3,1
"284",373,2,1,-1
"285",374,2,0,-2
"286",375,4,0,-4
"287",376,1,2,1
"288",377,0,10,10
"289",378,6,12,6
"290",379,11,7,-4
"291",380,1,1,0
"292",381,0,1,1
"293",382,6,16,10
"294",383,0,1,1
"295",384,5,3,-2
"296",386,0,2,2
"297",387,2,1,-1
"298",388,2,3,1
"299",389,0,5,5
"300",390,1,5,4
"301",391,2,2,0
"302",393,2,6,4
"303",394,1,3,2
"304",397,4,20,16
"305",398,1,0,-1
"306",401,1,1,0
"307",403,2,8,6
"308",404,1,3,2
"309",405,1,1,0
"310",406,1,1,0
"311",407,3,7,4
"312",408,1,7,6
"313",409,1,1,0
"314",410,3,3,0
"315",411,2,2,0
"316",412,8,5,-3
"317",413,10,11,1
"318",414,1,1,0
"319",415,8,13,5
"320",416,1,1,0
"321",418,2,4,2
"322",419,0,2,2
"323",420,0,2,2
"324",421,1,0,-1
"325",422,3,3,0
"326",423,1,3,2
"327",424,1,1,0
"328",425,1,3,2
"329",426,0,1,1
"330",427,0,1,1
"331",428,6,6,0
"332",429,7,4,-3
"333",430,1,1,0
"334",431,0,1,1
"335",432,7,8,1
"336",433,1,0,-1
"337",434,1,1,0
"338",435,5,6,1
"339",436,1,1,0
"340",437,1,0,-1
"341",439,1,11,10
"342",440,0,9,9
"343",441,1,4,3
"344",442,2,1,-1
"345",443,4,6,2
"346",444,0,8,8
"347",445,1,11,10
"348",446,2,0,-2
"349",447,0,1,1
"350",448,4,0,-4
"351",449,0,1,1
"352",450,3,0,-3
"353",451,1,1,0
"354",452,2,1,-1
"355",453,1,0,-1
"356",455,8,11,3
"357",456,1,1,0
"358",457,1,1,0
"359",458,2,0,-2
"360",459,1,1,0
"361",460,10,11,1
"362",461,1,0,-1
"363",462,4,10,6
"364",463,0,6,6
"365",464,1,1,0
"366",465,0,1,1
"367",466,0,5,5
"368",467,1,2,1
"369",468,4,9,5
"370",469,5,9,4
"371",471,1,1,0
"372",472,4,6,2
"373",473,3,9,6
"374",474,0,1,1
"375",475,2,1,-1
"376",476,7,12,5
"377",477,1,1,0
"378",478,2,1,-1
"379",479,1,1,0
"380",480,9,14,5
"381",482,13,6,-7
"382",483,7,1,-6
"383",485,0,4,4
"384",486,1,1,0
"385",487,0,5,5
"386",488,0,1,1
"387",489,1,1,0
"388",490,1,11,10
"389",491,1,0,-1
"390",493,3,9,6
"391",494,0,5,5
"392",495,1,9,8
"393",496,0,1,1
"394",497,4,8,4
"395",498,6,0,-6
"396",500,1,1,0
"397",501,2,2,0
"398",502,1,1,0
"399",503,5,2,-3
"400",505,0,1,1
"401",506,0,2,2
"402",507,7,9,2
"403",509,2,5,3
"404",510,1,7,6
"405",511,8,4,-4
"406",512,7,12,5
"407",513,1,0,-1
"408",514,2,8,6
"409",515,1,6,5
"410",516,1,5,4
"411",517,1,0,-1
"412",518,1,1,0
"413",519,0,7,7
"414",521,4,4,0
"415",522,1,6,5
"416",523,1,1,0
"417",524,6,11,5
"418",525,1,1,0
"419",526,8,6,-2
"420",527,4,13,9
"421",528,1,1,0
"422",529,4,8,4
"423",530,2,7,5
"424",531,1,1,0
"425",532,0,1,1
"426",533,1,1,0
"427",534,1,9,8
"428",535,0,4,4
"429",536,0,2,2
"430",537,1,1,0
"431",538,1,1,0
"432",539,3,0,-3
"433",540,2,3,1
"434",542,0,1,1
"435",543,3,5,2
"436",544,0,3,3
"437",545,0,2,2
"438",546,1,0,-1
"439",548,0,1,1
"440",549,21,33,12
"441",550,1,1,0
"442",551,1,4,3
"443",552,4,1,-3
"444",553,1,9,8
"445",554,7,9,2
"446",555,1,6,5
"447",556,0,5,5
"448",557,1,0,-1
"449",558,1,0,-1
"450",559,1,1,0
"451",560,1,1,0
"452",561,0,2,2
"453",562,2,1,-1
"454",563,0,5,5
"455",564,0,3,3
"456",565,0,5,5
"457",566,1,1,0
"458",567,0,1,1
"459",568,1,2,1
"460",569,4,5,1
"461",570,0,2,2
"462",573,5,6,1
"463",574,1,6,5
"464",575,6,10,4
"465",576,0,1,1
"466",577,1,8,7
"467",579,2,6,4
"468",580,1,0,-1
"469",582,3,2,-1
"470",583,10,11,1
"471",584,1,8,7
"472",585,7,12,5
"473",586,6,7,1
"474",587,1,1,0
"475",588,8,8,0
"476",589,5,5,0
"477",590,1,6,5
"478",591,8,18,10
"479",592,0,5,5
"480",593,15,9,-6
"481",594,2,23,21
"482",596,4,5,1
"483",597,1,3,2
"484",598,1,2,1
"485",599,0,2,2
"486",600,2,3,1
"487",601,3,10,7
"488",602,3,13,10
"489",603,0,1,1
"490",604,0,5,5
"491",605,1,4,3
"492",606,1,6,5
"493",607,1,1,0
"494",608,1,1,0
"495",610,3,4,1
"496",611,17,17,0
"497",612,1,0,-1
"498",613,1,2,1
"499",614,1,1,0
"500",616,0,1,1
"501",617,1,1,0
"502",618,9,7,-2
"503",619,2,7,5
"504",620,0,6,6
"505",622,0,1,1
"506",624,1,9,8
"507",625,0,5,5
"508",626,1,2,1
"509",627,0,3,3
"510",628,0,3,3
"511",629,0,3,3
"512",630,9,13,4
"513",631,0,1,1
"514",633,0,1,1
"515",634,0,4,4
"516",635,2,7,5
"517",636,1,8,7
"518",637,1,0,-1
"519",638,2,0,-2
"520",639,1,5,4
"521",640,8,15,7
"522",641,1,1,0
"523",642,2,5,3
"524",644,12,50,38
"525",645,1,1,0
"526",646,1,6,5
"527",647,1,3,2
"528",648,1,1,0
"529",650,1,1,0
"530",651,2,5,3
"531",652,0,2,2
"532",653,1,1,0
"533",654,0,1,1
"534",656,2,0,-2
"535",659,2,0,-2
"536",660,2,0,-2
"537",662,0,2,2
"538",663,2,8,6
"539",664,2,0,-2
"540",665,0,2,2
"541",666,2,0,-2
"542",667,1,0,-1
"543",668,2,4,2
"544",669,1,0,-1
"545",670,0,1,1
"546",671,2,2,0
"547",672,0,1,1
"548",674,0,4,4
"549",678,0,1,1
"550",679,1,0,-1
"551",680,1,0,-1
"552",681,2,3,1
"553",682,3,1,-2
"554",684,0,2,2
"555",685,2,0,-2
"556",686,7,5,-2
"557",687,2,3,1
"558",688,0,2,2
"559",689,2,1,-1
"560",690,1,0,-1
"561",691,2,1,-1
"562",693,2,2,0
"563",694,1,0,-1
"564",695,0,3,3
"565",696,2,4,2
"566",697,4,1,-3
"567",698,0,1,1
"568",699,3,3,0
"569",700,4,0,-4
"570",702,2,2,0
"571",703,1,1,0
"572",705,1,0,-1
"573",707,0,5,5
"574",708,1,1,0
"575",709,0,2,2
"576",711,1,0,-1
"577",714,1,0,-1
"578",715,3,7,4
"579",716,2,0,-2
"580",718,1,3,2
"581",719,3,2,-1
"582",720,2,2,0
"583",721,1,4,3
"584",724,1,1,0
"585",725,1,3,2
"586",728,1,0,-1
"587",729,0,1,1
"588",730,31,14,-17
"589",731,1,8,7
"590",732,1,1,0
"591",733,0,1,1
"592",734,1,6,5
"593",736,2,7,5
"594",737,0,2,2
"595",739,4,8,4
"596",740,1,0,-1
"597",742,0,1,1
"598",743,1,0,-1
"599",744,1,2,1
"600",746,2,7,5
"601",748,0,1,1
"602",749,0,1,1
"603",750,1,0,-1
"604",752,0,1,1
"605",753,1,1,0
"606",754,1,4,3
"607",755,1,2,1
"608",756,1,4,3
"609",757,2,3,1
"610",758,1,0,-1
"611",761,4,8,4
"612",762,2,1,-1
"613",763,0,1,1
"614",764,0,4,4
"615",765,1,1,0
"616",766,6,5,-1
"617",767,0,2,2
"618",769,3,0,-3
"619",770,0,4,4
"620",771,0,4,4
"621",772,11,8,-3
"622",773,2,7,5
"623",774,0,1,1
"624",777,1,0,-1
"625",779,8,7,-1
"626",780,0,1,1
"627",781,1,3,2
"628",782,1,0,-1
"629",783,1,0,-1
"630",784,2,3,1
"631",785,0,5,5
"632",786,2,6,4
"633",787,1,0,-1
"634",788,0,1,1
"635",790,3,3,0
"636",791,1,3,2
"637",792,2,5,3
"638",793,4,1,-3
"639",795,1,2,1
"640",796,10,4,-6
"641",797,3,0,-3
"642",798,1,0,-1
"643",799,2,3,1
"644",800,1,0,-1
"645",801,0,1,1
"646",802,1,3,2
"647",804,0,5,5
"648",805,2,0,-2
"649",806,0,1,1
"650",807,2,2,0
"651",809,0,2,2
"652",810,2,5,3
"653",811,1,3,2
"654",812,0,2,2
"655",813,1,0,-1
"656",814,1,0,-1
"657",816,2,2,0
"658",817,2,0,-2
"659",818,0,2,2
"660",820,2,3,1
"661",821,8,6,-2
"662",822,3,2,-1
"663",823,0,1,1
"664",824,2,0,-2
"665",826,0,4,4
"666",827,0,1,1
"667",828,1,0,-1
"668",829,2,1,-1
"669",831,1,2,1
"670",832,3,0,-3
"671",833,1,0,-1
"672",835,1,0,-1
"673",836,2,1,-1
"674",837,0,1,1
"675",838,3,1,-2
"676",841,0,1,1
"677",842,1,2,1
"678",843,2,1,-1
"679",844,1,5,4
"680",845,1,0,-1
"681",846,1,1,0
"682",847,3,0,-3
"683",848,3,0,-3
"684",849,6,1,-5
"685",850,5,4,-1
"686",851,1,0,-1
"687",852,3,4,1
"688",853,0,1,1
"689",855,2,6,4
"690",856,4,1,-3
"691",857,1,0,-1
"692",858,1,0,-1
"693",863,3,1,-2
"694",864,0,2,2
"695",865,2,3,1
"696",867,3,7,4
"697",869,0,1,1
"698",870,2,4,2
"699",872,2,2,0
"700",873,2,2,0
"701",874,3,5,2
"702",875,0,1,1
"703",876,2,1,-1
"704",877,2,4,2
"705",878,3,4,1
"706",879,5,12,7
"707",881,2,0,-2
"708",882,1,1,0
"709",883,1,0,-1
"710",884,3,1,-2
"711",885,1,3,2
"712",888,2,0,-2
"713",889,3,1,-2
"714",890,2,3,1
"715",891,0,1,1
"716",892,2,2,0
"717",893,5,1,-4
"718",895,0,1,1
"719",896,0,3,3
"720",898,2,1,-1
"721",899,4,0,-4
"722",900,3,4,1
"723",902,7,7,0
"724",904,1,5,4
"725",905,1,0,-1
"726",906,4,6,2
"727",907,0,2,2
"728",908,1,3,2
"729",909,2,0,-2
"730",910,3,1,-2
"731",911,4,1,-3
"732",912,5,5,0
"733",913,2,1,-1
"734",914,2,1,-1
"735",915,1,2,1
"736",916,1,2,1
"737",917,6,4,-2
"738",918,1,1,0
"739",919,1,26,25
"740",920,1,1,0
"741",921,1,0,-1
"742",922,1,1,0
"743",923,3,1,-2
"744",924,0,1,1
"745",926,1,1,0
"746",927,0,1,1
"747",928,2,0,-2
"748",929,5,4,-1
"749",931,4,3,-1
"750",933,1,0,-1
"751",934,2,3,1
"752",937,2,4,2
"753",938,2,1,-1
"754",939,2,6,4
"755",941,7,2,-5
"756",942,24,10,-14
"757",944,0,2,2
"758",945,1,0,-1
"759",946,1,1,0
"760",947,1,0,-1
"761",948,8,10,2
"762",949,2,1,-1
"763",951,0,3,3
"764",952,2,3,1
"765",953,1,0,-1
"766",954,11,6,-5
"767",955,0,2,2
"768",956,1,2,1
"769",957,2,1,-1
"770",958,2,1,-1
"771",959,3,3,0
"772",960,1,2,1
"773",961,1,2,1
"774",964,1,0,-1
"775",965,2,3,1
"776",966,0,1,1
"777",967,3,1,-2
"778",968,0,1,1
"779",969,2,1,-1
"780",970,1,1,0
"781",971,3,5,2
"782",972,1,1,0
"783",973,3,9,6
"784",974,1,3,2
"785",975,1,6,5
"786",976,4,2,-2
"787",978,5,8,3
"788",980,5,3,-2
"789",981,1,0,-1
"790",982,1,0,-1
"791",983,1,2,1
"792",985,2,0,-2
"793",986,4,2,-2
"794",987,0,1,1
"795",988,2,2,0
"796",989,4,2,-2
"797",990,1,0,-1
"798",991,0,1,1
"799",993,1,0,-1
"800",995,3,1,-2
"801",996,2,3,1
"802",997,4,7,3
"803",998,2,2,0
"804",999,0,3,3
"805",1000,0,5,5
"806",1001,1,2,1
"807",1003,2,1,-1
"808",1004,3,1,-2
"809",1005,1,0,-1
"810",1006,84,75,-9
"811",1007,0,1,1
"812",1008,1,1,0
"813",1009,0,2,2
"814",1010,0,2,2
"815",1011,21,6,-15
"816",1012,0,1,1
"817",1013,17,8,-9
"818",1014,5,6,1
"819",1015,1,3,2
"820",1016,0,2,2
"821",1017,1,0,-1
"822",1018,0,2,2
"823",1019,0,4,4
"824",1020,1,1,0
"825",1021,2,2,0
"826",1022,2,9,7
"827",1023,6,4,-2
"828",1024,1,2,1
"829",1025,0,2,2
"830",1026,1,0,-1
"831",1027,6,8,2
"832",1028,0,1,1
"833",1029,2,0,-2
"834",1030,0,2,2
"835",1031,1,0,-1
"836",1032,2,0,-2
"837",1034,1,2,1
"838",1035,2,7,5
"839",1036,3,1,-2
"840",1037,0,1,1
"841",1038,2,2,0
"842",1040,0,3,3
"843",1041,0,1,1
"844",1042,1,3,2
"845",1043,4,3,-1
"846",1044,2,1,-1
"847",1045,24,7,-17
"848",1046,1,1,0
"849",1047,0,2,2
"850",1048,2,1,-1
"851",1049,2,3,1
"852",1050,2,2,0
"853",1051,1,1,0
"854",1053,1,0,-1
"855",1054,1,0,-1
"856",1055,0,1,1
"857",1056,2,9,7
"858",1058,9,3,-6
"859",1059,1,2,1
"860",1060,2,3,1
"861",1061,1,1,0
"862",1062,0,5,5
"863",1063,12,4,-8
"864",1064,0,1,1
"865",1065,12,8,-4
"866",1066,16,6,-10
"867",1067,13,7,-6
"868",1068,2,2,0
"869",1069,1,5,4
"870",1070,1,6,5
"871",1071,1,1,0
"872",1072,2,0,-2
"873",1073,35,30,-5
"874",1075,1,3,2
"875",1076,3,6,3
"876",1077,5,4,-1
"877",1078,5,0,-5
"878",1079,1,2,1
"879",1080,0,1,1
"880",1081,0,1,1
"881",1082,1,1,0
"882",1083,1,1,0
"883",1085,3,1,-2
"884",1086,4,4,0
"885",1089,4,5,1
"886",1090,1,1,0
"887",1091,2,4,2
"888",1092,1,3,2
"889",1093,2,0,-2
"890",1094,8,1,-7
"891",1095,2,2,0
"892",1096,1,1,0
"893",1097,0,2,2
"894",1098,1,4,3
"895",1099,1,1,0
"896",1100,4,2,-2
"897",1101,1,1,0
"898",1102,1,1,0
"899",1103,0,3,3
"900",1104,1,1,0
"901",1105,0,1,1
"902",1106,0,3,3
"903",1107,4,5,1
"904",1108,6,6,0
"905",1109,0,2,2
"906",1110,0,3,3
"907",1112,1,3,2
"908",1115,0,1,1
"909",1116,8,8,0
"910",1117,0,3,3
"911",1118,2,6,4
"912",1119,1,2,1
"913",1120,2,4,2
"914",1121,5,5,0
"915",1122,6,5,-1
"916",1125,0,5,5
"917",1126,13,22,9
"918",1128,0,5,5
"919",1129,0,2,2
"920",1130,2,0,-2
"921",1132,4,1,-3
"922",1133,0,1,1
"923",1134,0,1,1
"924",1135,1,2,1
"925",1136,2,2,0
"926",1137,3,5,2
"927",1138,7,5,-2
"928",1139,6,5,-1
"929",1140,1,2,1
"930",1142,1,0,-1
"931",1143,0,1,1
"932",1145,1,0,-1
"933",1146,1,3,2
"934",1148,0,4,4
"935",1149,4,4,0
"936",1150,2,5,3
"937",1151,4,6,2
"938",1152,0,1,1
"939",1153,3,4,1
"940",1155,0,3,3
"941",1157,0,5,5
"942",1158,2,4,2
"943",1161,2,3,1
"944",1162,1,0,-1
"945",1163,1,3,2
"946",1164,3,1,-2
"947",1165,0,2,2
"948",1166,1,0,-1
"949",1167,3,4,1
"950",1168,1,1,0
"951",1169,2,0,-2
"952",1170,3,5,2
"953",1171,2,2,0
"954",1173,1,1,0
"955",1174,9,8,-1
"956",1175,1,2,1
"957",1176,1,4,3
"958",1178,1,0,-1
"959",1179,1,0,-1
"960",1180,0,1,1
"961",1181,1,0,-1
"962",1182,2,6,4
"963",1186,8,5,-3
"964",1187,0,5,5
"965",1188,7,5,-2
"966",1189,0,2,2
"967",1190,2,8,6
"968",1191,0,8,8
"969",1192,4,6,2
"970",1193,0,1,1
"971",1194,0,2,2
"972",1195,9,9,0
"973",1196,7,10,3
"974",1197,2,4,2
"975",1198,2,2,0
"976",1199,2,4,2
"977",1201,1,0,-1
"978",1202,1,3,2
"979",1203,4,0,-4
"980",1204,3,0,-3
"981",1205,1,0,-1
"982",1206,0,2,2
"983",1207,0,1,1
"984",1209,0,1,1
"985",1210,4,5,1
"986",1211,1,3,2
"987",1213,1,2,1
"988",1216,3,2,-1
"989",1217,1,1,0
"990",1218,1,4,3
"991",1219,1,6,5
"992",1220,2,3,1
"993",1221,1,0,-1
"994",1222,3,0,-3
"995",1223,1,1,0
"996",1224,3,3,0
"997",1225,0,1,1
"998",1226,6,7,1
"999",1227,4,7,3
"1000",1228,1,0,-1
"1001",1230,0,1,1
"1002",1231,0,2,2
"1003",1232,0,1,1
"1004",1233,2,8,6
"1005",1234,0,1,1
"1006",1235,2,0,-2
"1007",1237,3,1,-2
"1008",1238,3,1,-2
"1009",1239,0,2,2
"1010",1240,2,1,-1
"1011",1241,4,8,4
"1012",1243,0,1,1
"1013",1244,0,2,2
"1014",1245,2,2,0
"1015",1247,0,1,1
"1016",1248,15,8,-7
"1017",1250,1,1,0
"1018",1252,1,4,3
"1019",1253,0,1,1
"1020",1254,0,2,2
"1021",1255,1,0,-1
"1022",1256,1,5,4
"1023",1258,4,3,-1
"1024",1259,2,1,-1
"1025",1260,5,3,-2
"1026",1261,0,3,3
"1027",1262,2,2,0
"1028",1263,3,1,-2
"1029",1267,1,0,-1
"1030",1268,1,6,5
"1031",1269,4,1,-3
"1032",1270,2,2,0
"1033",1271,1,0,-1
"1034",1272,5,1,-4
"1035",1273,2,0,-2
"1036",1275,6,14,8
"1037",1276,1,1,0
"1038",1277,0,1,1
"1039",1278,3,0,-3
"1040",1279,1,0,-1
"1041",1280,2,0,-2
"1042",1281,0,1,1
"1043",1283,0,3,3
"1044",1284,1,1,0
"1045",1285,2,2,0
"1046",1286,2,2,0
"1047",1287,8,6,-2
"1048",1288,0,2,2
"1049",1289,0,2,2
"1050",1290,8,9,1
"1051",1291,1,1,0
"1052",1292,6,15,9
"1053",1293,1,1,0
"1054",1294,1,1,0
"1055",1295,0,2,2
"1056",1296,2,4,2
"1057",1297,0,1,1
"1058",1298,0,1,1
"1059",1300,4,4,0
"1060",1301,0,2,2
"1061",1302,2,1,-1
"1062",1303,0,2,2
"1063",1304,1,4,3
"1064",1305,5,7,2
"1065",1306,1,1,0
"1066",1307,3,4,1
"1067",1308,0,1,1
"1068",1309,2,2,0
"1069",1310,2,8,6
"1070",1311,2,4,2
"1071",1314,0,4,4
"1072",1315,8,4,-4
"1073",1317,2,0,-2
"1074",1318,0,2,2
"1075",1319,2,0,-2
"1076",1321,0,3,3
"1077",1322,4,1,-3
"1078",1323,1,11,10
"1079",1325,6,2,-4
"1080",1326,3,1,-2
"1081",1327,1,0,-1
"1082",1328,0,6,6
"1083",1329,8,6,-2
"1084",1330,8,6,-2
"1085",1331,0,1,1
"1086",1332,3,1,-2
"1087",1333,1,5,4
"1088",1334,7,0,-7
"1089",1335,5,4,-1
"1090",1336,2,1,-1
"1091",1338,1,0,-1
"1092",1339,1,0,-1
"1093",1340,0,1,1
"1094",1341,4,4,0
"1095",1342,4,2,-2
"1096",1343,1,2,1
"1097",1344,1,0,-1
"1098",1345,1,2,1
"1099",1346,3,0,-3
"1100",1347,1,0,-1
"1101",1348,5,5,0
"1102",1350,0,2,2
"1103",1351,0,3,3
"1104",1352,1,1,0
"1105",1353,1,2,1
"1106",1354,5,3,-2
"1107",1355,0,2,2
"1108",1357,1,1,0
"1109",1358,0,2,2
"1110",1359,11,6,-5
"1111",1360,2,12,10
"1112",1361,0,4,4
"1113",1362,1,1,0
"1114",1363,4,4,0
"1115",1365,14,9,-5
"1116",1367,6,1,-5
"1117",1368,3,6,3
"1118",1369,5,2,-3
"1119",1370,8,2,-6
"1120",1371,2,3,1
"1121",1372,2,5,3
"1122",1374,1,4,3
"1123",1375,0,1,1
"1124",1376,7,3,-4
"1125",1377,0,1,1
"1126",1378,0,1,1
"1127",1379,1,2,1
"1128",1380,0,1,1
"1129",1381,14,5,-9
"1130",1382,1,0,-1
"1131",1384,0,5,5
"1132",1385,2,7,5
"1133",1386,2,2,0
"1134",1387,0,1,1
"1135",1389,0,1,1
"1136",1390,3,10,7
"1137",1391,2,0,-2
"1138",1392,3,6,3
"1139",1393,0,1,1
"1140",1394,0,1,1
"1141",1395,4,4,0
"1142",1396,0,1,1
"1143",1397,0,1,1
"1144",1398,3,2,-1
"1145",1399,11,5,-6
"1146",1400,1,9,8
"1147",1402,0,5,5
"1148",1403,2,0,-2
"1149",1404,0,1,1
"1150",1405,2,0,-2
"1151",1406,2,0,-2
"1152",1407,0,1,1
"1153",1409,0,1,1
"1154",1410,1,0,-1
"1155",1411,2,4,2
"1156",1413,0,1,1
"1157",1414,1,0,-1
"1158",1415,0,2,2
"1159",1416,3,4,1
"1160",1417,1,1,0
"1161",1418,2,1,-1
"1162",1419,5,2,-3
"1163",1420,1,1,0
"1164",1421,1,2,1
"1165",1422,0,1,1
"1166",1423,0,1,1
"1167",1424,6,0,-6
"1168",1425,7,9,2
"1169",1426,4,9,5
"1170",1427,15,9,-6
"1171",1428,3,7,4
"1172",1429,1,1,0
"1173",1430,1,1,0
"1174",1431,1,0,-1
"1175",1432,1,1,0
"1176",1433,6,6,0
"1177",1434,0,2,2
"1178",1435,3,9,6
"1179",1437,3,7,4
"1180",1438,1,7,6
"1181",1439,2,4,2
"1182",1440,0,1,1
"1183",1441,5,4,-1
"1184",1443,2,3,1
"1185",1444,4,7,3
